itemID,ingredientID,ingredientName,count,portionPerInventoryUnit
507,d2028,cutlery pack,1,0.002
507,d2029,basket liner,1,0.00016667
507,d2030,2oz clear cup,1,0.0004
507,d2031,2oz lid,1,0.0004
507,d2032,5.5 oz clear cup,1,0.0004
507,d2033,5.5 oz lid,1,0.0004
507,d2035,hinged lid box lg,1,0.005
507,f3002,fries,1,0.00833332
507,drinkID,drink,1,0.00416667
508,c1001,chicken,3,0.09375
508,c1005,cheese slices,1,0.00104167
508,c1006,Bacon slices,3,0.00333
508,d2001,flour,1,0.005
508,d2002,salt,1,0.0003125
508,d2003,pepper,1,0.003125
508,d2004,toast,2,0.00588235
508,d2005,garlic powder,1,0.003125
508,d2012,fryer oil,1,0.01428571
508,d2027,napkin,2,0.00016667
508,d2029,basket liner,1,0.00016667
508,d2035,hinged lid box sm,1,0.0022
509,c1001,chicken,3,0.09375
509,c1002,potato salad,1,0.06875
509,d2001,flour,1,0.005
509,d2002,salt,1,0.0003125
509,d2003,pepper,1,0.003125
509,d2004,toast,3,0.00588235
509,d2005,garlic powder,1,0.003125
509,d2006,ketchup (large),1,0.00085938
509,d2008,mayo,1,0.00085938
509,d2011,worcestershire sauce,1,0.00085938
509,d2012,fryer oil,1,0.01428571
509,d2023,straw,1,0.00125
509,d2024,drink lid,1,0.001
509,d2026,16oz cup,1,0.001
509,d2027,napkin,2,0.00016667
509,d2028,cutlery pack,1,0.002
509,d2029,basket liner,1,0.00016667
509,d2030,2oz clear cup,1,0.0004
509,d2031,2oz lid,1,0.0004
509,d2032,5.5 oz clear cup,1,0.0004
509,d2033,5.5 oz lid,1,0.0004
509,d2035,hinged lid box lg,1,0.005
509,f3002,fries,1,0.00833332
509,drinkID,drink,1,0.00416667
510,c1001,chicken,3,0.09375
510,d2001,flour,1,0.005
510,d2002,salt,1,0.0003125
510,d2003,pepper,1,0.003125
510,d2004,toast,2,0.00588235
510,d2005,garlic powder,1,0.003125
510,d2012,fryer oil,1,0.01428571
510,d2027,napkin,2,0.00016667
510,d2029,basket liner,1,0.00016667
510,d2035,hinged lid box sm,1,0.0022
511,c1002,potato salad,1,0.06875
511,c1005,cheese slices,1,0.00104167
511,d2002,salt,1,0.0003125
511,d2004,toast,3,0.00588235
511,d2006,ketchup (large),1,0.00085938
511,d2008,mayo,1,0.00085938
511,d2011,worcestershire sauce,1,0.00085938
507,d2023,straw,1,0.00125
507,d2024,drink lid,1,0.001
507,d2026,16oz cup,1,0.001
507,d2027,napkin,2,0.00016667
507,d2028,cutlery pack,1,0.002
507,d2029,basket liner,1,0.00016667
506,d2030,2oz clear cup,1,0.0004
506,d2031,2oz lid,1,0.0004
511,d2032,5.5 oz clear cup,1,0.0004
511,d2033,5.5 oz lid,1,0.0004
507,d2035,hinged lid box lg,1,0.005
511,f3002,fries,1,0.00833332
511,drinkID,drink,1,0.00416667
512,c1005,cheese slices,1,0.00104167
512,d2004,toast,2,0.00588235
512,d2027,napkin,3,0.00016667
512,d2029,basket liner,1,0.00016667
512,d2035,hinged lid box sm,1,0.0022
513,d2006,ketchup (large),1,0.00085938
513,d2008,mayo,1,0.00085938
513,d2011,worcestershire sauce,1,0.00085938
513,d2030,2oz clear cup,1,0.0004
513,d2031,2oz lid,1,0.0004
514,c1001,chicken,1,0.09375
514,d2001,flour,1,0.005
514,d2002,salt,1,0.0003125
514,d2003,pepper,1,0.003125
514,d2005,garlic powder,1,0.003125
515,d2004,toast,1,0.00588235
516,c1002,potato salad,1,0.06875
516,d2028,cutlery pack,1,0.002
516,d2032,5.5 oz clear cup,1,0.0004
516,d2033,5.5 oz lid,1,0.0004
517,d2002,salt,1,0.0003125
517,f3002,fries,1,0.00833332
518,d2023,straw,1,0.00125
518,d2024,drink lid,1,0.001
518,d2026,16oz cup,1,0.001
518,drinkID,drink,1,0.00416667
519,bottledDrinkID,bottled drink,1,0.08333
